declaration,items,difficulty
AxQM.Concrete.pauliX_mul_pauliY_mul_pauliX,Exercise4_7,very-small
AxQM.Concrete.pauliX_trace,Exercise2_36,very-small
AxQM.Concrete.pauliY_lie_pauliZ,Exercise2_40,very-small
AxQM.Concrete.pauliY_mulVec_yMinus,Exercise2_11,very-small
AxQM.Concrete.pauliY_mulVec_yPlus,Exercise2_11,very-small
AxQM.Concrete.pauliY_trace,Exercise2_36,very-small
AxQM.Concrete.pauliZ_lie_pauliX,Exercise2_40,very-small
AxQM.Concrete.pauli_anticomm,Exercise2_41,very-small
AxQM.Concrete.qftFactorSwap_isTwoLevelUnitary,Exercise4_37,very-small
AxQM.Concrete.rabiUnitary_apply_zero_zero,Exercise7_18,very-small
AxQM.Concrete.rotAxis_mul_rotAxis,Exercise4_15,very-small
AxQM.Concrete.rotAxis_mul_rotAxis_stated_order_printed_false,Exercise4_15,very-small
AxQM.Concrete.rotComposeCos_self_axisZ,Exercise4_15,very-small
AxQM.Concrete.rotComposeVec_self_axisZ,Exercise4_15,very-small
AxQM.Concrete.rotX_eq,Exercise4_2,very-small
AxQM.Concrete.sMatrix_conj_pauliX,Exercise10_39,very-small
AxQM.Concrete.sMatrix_conj_pauliZ,Exercise10_39,very-small
AxQM.Concrete.shorStdGen_bottom_xPart_zero,Exercise10_57,very-small
AxQM.Concrete.shorStdGen_top_zPart_zero,Exercise10_57,very-small
AxQM.Concrete.shorStdGen_xPart_pivot_identity,Exercise10_57,very-small
AxQM.Concrete.shorStdGen_zPart_middle_identity,Exercise10_57,very-small
AxQM.Concrete.sin_groverAngle,Exercise6_3,very-small
AxQM.Concrete.spin32_comm_iy_iz,Exercise7_28,very-small
AxQM.Concrete.spin32_comm_iz_ix,Exercise7_28,very-small
AxQM.Concrete.sqrtSwapHeis_mul_self,Exercise7_52,very-small
AxQM.Concrete.stabilizer_le_normalizer,Exercise10_43,very-small
AxQM.Concrete.steaneRecovery_pauliMulIndex_singleError,Exercise10_61,very-small
AxQM.Concrete.steaneRecovery_steaneSyndrome,Exercise10_61,very-small
AxQM.Concrete.steaneStdLogicalX_checkRow,Exercise10_55,very-small
AxQM.Concrete.tCtrl_mul_cnotMatrix_comm,Exercise10_66_FTpi8,very-small
AxQM.Concrete.tMatrix_conj_pauliZ,Exercise10_41,very-small
AxQM.Concrete.tMatrix_mul_pauliX_ne_expNeg_smul_sxMatrix,Exercise10_66_FTpi8,very-small
AxQM.Concrete.tomographyComplete_univ,Exercise7_46,very-small
AxQM.Concrete.totalJz_eq,Exercise7_26,very-small
AxQM.Concrete.totalJz_mulVec_coupledSinglet,Exercise7_26,very-small
AxQM.Concrete.totalJz_mulVec_coupledTripletMinus,Exercise7_26,very-small
AxQM.Concrete.totalJz_mulVec_coupledTripletPlus,Exercise7_26,very-small
AxQM.Concrete.totalJz_mulVec_coupledTripletZero,Exercise7_26,very-small
AxQM.Concrete.vecKron_xPlus_vecKron_xPlus_xPlus,Exercise2_26,very-small
AxQM.Concrete.vecKron_xPlus_vecKron_xPlus_xPlus_eq_sum,Exercise2_26,very-small
AxQM.Concrete.vecKron_xPlus_xPlus,Exercise2_26,very-small
AxQM.Concrete.vecKron_xPlus_xPlus_eq_sum,Exercise2_26,very-small
AxQM.Measurement.isProjective_of_isSelfPOVM,Exercise2_62,very-small
AxQM.Observable.op_mul_projMinus,Exercise2_60,very-small
AxQM.Observable.op_mul_projPlus,Exercise2_60,very-small
AxQM.Observable.projMinus_apply_eq_self,Exercise2_60,very-small
AxQM.Observable.projPlus_apply_eq_self,Exercise2_60,very-small
AxQM.Observable.propagator_op_mem_unitary,Exercise2_55,very-small
AxQM.State.angle_nonneg,Exercise9_17,very-small
AxQM.StateDistinguisher.intercept_reveals,Exercise12_38,very-small
AxQM.StateDistinguisher.intercept_signal,Exercise12_38,very-small
AxQM.bellBasis_apply,Exercise2_69,very-small
AxQM.expectation_pauliX_qubitBasis_zero,Exercise2_59,very-small
AxQM.nEPRVec_eq_sum_regBasis_tmul,Exercise12_36,very-small
AxQM.orderEigenstate_reconstruct,Exercise5_13,very-small
AxQM.orderEigenstate_sum_eq_one,Exercise5_13,very-small
AxQM.qftInverseEvolution_comp_qftEvolution,Exercise5_5,very-small
AxQM.qftTailBranch_eq_qtowerSingleWire_prod,Problem5_2,very-small
AxQM.rzThreeFifthsAngle_cos,Exercise4_41,very-small
AxQM.seqCtrlPow_evolvePure,Exercise5_7,very-small
AxQM.teleportationInducedState_injective_of_recovers,Problem8_2,very-small
AxQM.teleportationProb_sum_eq_one,Problem8_2,very-small
AxQM.toState_evolvePure,Exercise8_1,very-small
ConcaveOn.slice_left,Exercise11_23,very-small
Cryptography.KeyDistribution.card_publicKeys,Exercise12_25,very-small
GaloisField.transvecCount_isBigO_sq,Problem7_1,very-small
LinearMap.IsSymmetric.inner_eq_zero_of_hasEigenvector_of_ne,Exercise2_22,very-small
LinearMap.exists_unitaryExtend,Exercise2_67,very-small
LinearMap.isSelfAdjoint_of_forall_inner_map_self_nonneg,Exercise2_24,very-small
LinearMap.isSymmetric_of_forall_inner_map_self_nonneg,Exercise2_24,very-small
LinearMap.toMatrixOrthonormal_rankOne,Exercise2_10,very-small
Matrix.IsHermitian.kronecker,Exercise2_30,very-small
Matrix.IsHermitian.sqrt_conjTranspose_mul_self,Exercise2_48,very-small
Matrix.PosSemidef.eq_one_mul_sqrt_conjTranspose_mul_self,Exercise2_48,very-small
Matrix.PosSemidef.sqrt_conjTranspose_mul_self,Exercise2_48,very-small
Matrix.PosSemidef.sqrt_mul_conjTranspose_self,Exercise2_48,very-small
Matrix.eq_mul_sqrt_conjTranspose_mul_self_of_mem_unitaryGroup,Exercise2_48,very-small
Matrix.exists_unitary_mul_diagonal_mul_unitary,Corollary2_4,very-small
Matrix.hammingCode_length,Exercise10_22,very-small
Matrix.map_star_kronecker,Exercise2_28,very-small
Matrix.not_forall_trace_conjTranspose_mul_eq_star_maxEntVec_dotProduct_kronecker,Exercise9_16,very-small
Matrix.sqrt_conjTranspose_mul_self_of_mem_unitaryGroup,Exercise2_48,very-small
Matrix.sqrt_mul_conjTranspose_self_of_mem_unitaryGroup,Exercise2_48,very-small
Matrix.star_maxEntVec_dotProduct_kronecker,Exercise9_16,very-small
Module.End.smul_add_smul_mem_stabilizedSubmodule,Exercise10_29,very-small
OrthonormalBasis.diagonalOperator_norm_isPositive,Exercise2_49,very-small
Real.entropy_swap,Theorem11_3,very-small
Real.exists_const_mul_log_of_map_mul_eq_add,Exercise11_2,very-small
TensorProduct.mapL_isPositive,Exercise2_31,very-small
convex_setOf_majorize,Exercise12_18,very-small
integral_Ioi_one_div_sq_two,Exercise5_16,very-small
irrational_div_two_pi_of_cos_eq_three_div_five,Exercise4_42,very-small
mulPair_concaveOn_left,Exercise11_23,very-small
mulPair_concaveOn_right,Exercise11_23,very-small
mulPair_not_concaveOn,Exercise11_23,very-small
repetitionGenerator_mulVec,Exercise10_14,very-small
star_lie,Exercise2_45,very-small
sum_smul_inner,Exercise2_6,very-small
AddChar.sum_pi_subgroup_zmod_eq_natCard_iff,Exercise5_26,small
AddChar.sum_pi_subgroup_zmod_prod,Exercise5_26,small
AxQM.Concrete.IsEffectivePureManifold.card_le,Exercise7_44,small
AxQM.Concrete.ToffoliConj.toffoli_conj_pauliX1,Exercise10_41,small
AxQM.Concrete.ToffoliConj.toffoli_conj_pauliX2,Exercise10_41,small
AxQM.Concrete.ToffoliConj.toffoli_conj_pauliX3,Exercise10_41,small
AxQM.Concrete.ToffoliConj.toffoli_conj_pauliZ1,Exercise10_41,small
AxQM.Concrete.ToffoliConj.toffoli_conj_pauliZ2,Exercise10_41,small
AxQM.Concrete.ToffoliConj.toffoli_conj_pauliZ3,Exercise10_41,small
AxQM.Concrete.TomographyComplete.card_eq,Exercise7_46,small
AxQM.Concrete.ampDampChiMatrix_eq,Exercise8_35,small
AxQM.Concrete.boltzmannExcited_boltzmannTemperature,Exercise8_25,small
AxQM.Concrete.boltzmannGround_boltzmannTemperature,Exercise8_25,small
AxQM.Concrete.boltzmannTemperature_unique,Exercise8_25,small
AxQM.Concrete.classicalFidelity_deterministic_uniform,Exercise9_3,small
AxQM.Concrete.classicalFidelity_ternary_example,Exercise9_3,small
AxQM.Concrete.classicalTraceDist_isGreatest_sub,Exercise9_5,small
AxQM.Concrete.classicalTraceDist_isGreatest_sub_of_sum_eq_one,Exercise9_5,small
AxQM.Concrete.cnotMatrix_conj_pauliX1,Exercise10_36,small
AxQM.Concrete.cnotMatrix_conj_pauliX2,Exercise10_36,small
AxQM.Concrete.cnotMatrix_conj_pauliZ1,Exercise10_36,small
AxQM.Concrete.dampedRho_eq_kraus,Problem8_1,small
AxQM.Concrete.dampedRho_hasDerivAt,Problem8_1,small
AxQM.Concrete.dipoleOverlap_ne_zero_imp_delta_m,Exercise7_16,small
AxQM.Concrete.dualRailErrCombined_not_completeness,Exercise8_23,small
AxQM.Concrete.dualRailFaithful_completeness,Exercise8_23,small
AxQM.Concrete.entropy_fairCoin_div_log_two,Exercise11_1,small
AxQM.Concrete.entropy_fairDie_div_log_two,Exercise11_1,small
AxQM.Concrete.exists_isEffectivePureManifold,Exercise7_44,small
AxQM.Concrete.exists_mem_specialOrthogonalGroup_symmetric_factor,Exercise8_12,small
AxQM.Concrete.exists_simCost_le_mul_sq_length,Theorem10_7_GottesmanKnill,small
AxQM.Concrete.exists_zyMatrixForm,Exercise4_9,small
AxQM.Concrete.exists_zy_decomposition,Theorem4_1,small
AxQM.Concrete.exp_neg_I_smul_rabiHamiltonian,Exercise7_18,small
AxQM.Concrete.factoringFastOpBound_isLittleO_cubic,Problem5_4,small
AxQM.Concrete.factoringTotalOpCount_isBigO_of_fastMul,Problem5_4,small
AxQM.Concrete.fiveQubitStdGen_checkRow_span_eq,Exercise10_57,small
AxQM.Concrete.fockBeamKraus_norm,Exercise8_21,small
AxQM.Concrete.four_le_card_of_specifiesAffineBloch,Exercise8_33,small
AxQM.Concrete.functionOfPauliDot_decomposition,Problem2_1,small
AxQM.Concrete.hadamardABC_A_mul_B_mul_C_eq_one,Exercise4_12,small
AxQM.Concrete.hadamardC_eq_expPiDivTwo_smul_rotX_rotY,Exercise7_31,small
AxQM.Concrete.hadamardC_mul_pauliX_mul_hadamardC,Exercise4_13,small
AxQM.Concrete.hadamardC_mul_pauliY_mul_hadamardC,Exercise4_13,small
AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC,Exercise4_13,small
AxQM.Concrete.hadamardC_mul_tMatrix_mul_hadamardC,Exercise4_14,small
AxQM.Concrete.hadamardPow_apply_eq,Exercise2_33,small
AxQM.Concrete.hadamardPow_two_submatrix,Exercise2_33,small
AxQM.Concrete.hammingGenerator_isGenerator,Exercise10_28,small
AxQM.Concrete.heisenbergEvolution_pi,Exercise7_52,small
AxQM.Concrete.hyperfineCoupledBasis_conjTranspose_mul_self,Exercise7_28,small
AxQM.Concrete.hyperfineFSq_eq,Exercise7_28,small
AxQM.Concrete.hyperfineFSq_mulVec_coupledF1n1,Exercise7_28,small
AxQM.Concrete.hyperfineFSq_mulVec_coupledF1p1,Exercise7_28,small
AxQM.Concrete.hyperfineFSq_mulVec_coupledF1z,Exercise7_28,small
AxQM.Concrete.hyperfineFSq_mulVec_coupledF2n1,Exercise7_28,small
AxQM.Concrete.hyperfineFSq_mulVec_coupledF2n2,Exercise7_28,small
AxQM.Concrete.hyperfineFSq_mulVec_coupledF2p1,Exercise7_28,small
AxQM.Concrete.hyperfineFSq_mulVec_coupledF2p2,Exercise7_28,small
AxQM.Concrete.hyperfineFSq_mulVec_coupledF2z,Exercise7_28,small
AxQM.Concrete.inversionAboutMean_mulVec_apply,Exercise6_2,small
AxQM.Concrete.isLeast_needsOrderFinding,Exercise5_19,small
AxQM.Concrete.kerrSinglePhotonAbsorptionProb,Exercise7_22,small
AxQM.Concrete.kerrTwoPhotonPhase_arg,Exercise7_21,small
AxQM.Concrete.linearIndependent_genRow_encXRow,Exercise10_54,small
AxQM.Concrete.matFourThreeSqrt_posDef,Exercise2_34,small
AxQM.Concrete.mem_stabilizer_conjTranspose,Exercise10_43,small
AxQM.Concrete.modMulMatrix_mem_unitaryGroup,Exercise5_12,small
AxQM.Concrete.not_isSqrt2ScaledIn_gaussian_tMatrix,Exercise4_45,small
AxQM.Concrete.not_linearIndependent_dependentTripleC2,Exercise2_1,small
AxQM.Concrete.opticalHadamardCircuit_eq_smul_hadamardC,Exercise7_9,small
AxQM.Concrete.opticalHadamardCircuit_mulVec_oneZero,Exercise7_9,small
AxQM.Concrete.opticalHadamardCircuit_mulVec_zeroOne,Exercise7_9,small
AxQM.Concrete.orPoly_represents_orFun,Exercise6_19,small
AxQM.Concrete.pauliAverage_blochMatrix,Exercise8_17,small
AxQM.Concrete.pauliAverage_one,Exercise8_17,small
AxQM.Concrete.pauliAverage_pauliX,Exercise8_17,small
AxQM.Concrete.pauliAverage_pauliY,Exercise8_17,small
AxQM.Concrete.pauliAverage_pauliZ,Exercise8_17,small
AxQM.Concrete.pauliDot_conjSum_eq_zero,Exercise7_39,small
AxQM.Concrete.pauliDot_conjSum_twoAxis_eq_zero,Exercise7_39,small
AxQM.Concrete.pauliI_eq_ketBra,Exercise2_9,small
AxQM.Concrete.pauliX_eq_ketBra,Exercise2_9,small
AxQM.Concrete.pauliX_eq_outerSelf_sub,Exercise2_11,small
AxQM.Concrete.pauliX_mul_zEvolution_mul_pauliX,Exercise7_38,small
AxQM.Concrete.pauliY_eq_ketBra,Exercise2_9,small
AxQM.Concrete.pauliY_eq_outerSelf_sub,Exercise2_11,small
AxQM.Concrete.pauliZ_eq_ketBra,Exercise2_9,small
AxQM.Concrete.pauliZ_eq_outerSelf_sub,Exercise2_11,small
AxQM.Concrete.phaseDampMixingUnitary_mem_unitaryGroup,Exercise8_27,small
AxQM.Concrete.phaseDamp_unitaryFreedom,Exercise8_27,small
AxQM.Concrete.phaseDampedElem_eq,Exercise8_31,small
AxQM.Concrete.piEighthCircuitOut_measure_one,Exercise10_66_FTpi8,small
AxQM.Concrete.piEighthCircuitOut_measure_zero,Exercise10_66_FTpi8,small
AxQM.Concrete.polarExampleLeftFactor_eq_sqrt,Exercise2_50,small
AxQM.Concrete.polarExampleMat_eq_left_polar,Exercise2_50,small
AxQM.Concrete.polarExampleMat_eq_right_polar,Exercise2_50,small
AxQM.Concrete.polarExampleRightFactor_eq_sqrt,Exercise2_50,small
AxQM.Concrete.polarExampleUnitary_mem_unitaryGroup,Exercise2_50,small
AxQM.Concrete.projZeroOp_not_blochAffine,Exercise8_16,small
AxQM.Concrete.projZeroOp_not_tracePreserving,Exercise8_16,small
AxQM.Concrete.qftApproxErrorBound_isTheta,Exercise5_6,small
AxQM.Concrete.qftFactorG13_isTwoLevelUnitary,Exercise4_37,small
AxQM.Concrete.qftFactorH01_isTwoLevelUnitary,Exercise4_37,small
AxQM.Concrete.qftFactorH02_isTwoLevelUnitary,Exercise4_37,small
AxQM.Concrete.qftFactorH23_isTwoLevelUnitary,Exercise4_37,small
AxQM.Concrete.qftFour_eq_prod,Exercise4_37,small
AxQM.Concrete.refocusPulse_mul_zEvolution_mul_refocusPulse,Exercise7_38,small
AxQM.Concrete.samplingEstimator_needs_linear_samples,Exercise6_13,small
AxQM.Concrete.shearMatrix_not_diagonalizable,Exercise2_12,small
AxQM.Concrete.shorStdGen_checkRow_span_eq,Exercise10_57,small
AxQM.Concrete.spin32_comm_ix_iy,Exercise7_28,small
AxQM.Concrete.sqrtSwapHeis_eq,Exercise7_52,small
AxQM.Concrete.symplecticForm_encXRow_encXRow,Exercise10_54,small
AxQM.Concrete.symplecticForm_encXRow_encZRow,Exercise10_54,small
AxQM.Concrete.tMatrix_conj_pauliX,Exercise10_41,small
AxQM.Concrete.tMatrix_conj_pauliX_eq_expNeg_smul_sxMatrix,Exercise10_66_FTpi8,small
AxQM.Concrete.tMatrix_mulVec_hadamardC_mulVec_ket_zero,Exercise10_66_FTpi8,small
AxQM.Concrete.teleportation_Xbasis,Exercise10_42,small
AxQM.Concrete.teleportation_Zbasis,Exercise10_42,small
AxQM.Concrete.toMatrix_swapOperator_std,Exercise2_2,small
AxQM.Concrete.totalJSq_eq,Exercise7_26,small
AxQM.Concrete.totalJSq_mulVec_coupledSinglet,Exercise7_26,small
AxQM.Concrete.totalJSq_mulVec_coupledTripletMinus,Exercise7_26,small
AxQM.Concrete.totalJSq_mulVec_coupledTripletPlus,Exercise7_26,small
AxQM.Concrete.totalJSq_mulVec_coupledTripletZero,Exercise7_26,small
AxQM.Concrete.twoQubitCNOT_conj_pauliY_kron_pauliI,Exercise10_37,small
AxQM.Concrete.twoQubitCNOT_conj_pauliY_kron_pauliI_eq_mul,Exercise10_37,small
AxQM.Concrete.unitVecOneNegOneC2_eq_norm_inv_smul,Exercise2_7,small
AxQM.Concrete.unitVecOneOneC2_eq_norm_inv_smul,Exercise2_7,small
AxQM.Ensemble.purify_reducedLeft,Exercise2_82,small
AxQM.Ensemble.toState_surjective,Theorem2_5,small
AxQM.Evolution.exists_hamiltonian_generator_spectrum_Icc,Problem4_3,small
AxQM.Evolution.exists_op_eq_phase_smul_rotAxisGate,Exercise4_8,small
AxQM.Measurement.IsProjective.unreadState_op,Exercise4_32,small
AxQM.Measurement.bornProb_eq_trace_opElement,Exercise8_2,small
AxQM.Measurement.exists_unitary_op_eq_comp_sqrt_toPOVM_elements,Exercise2_63,small
AxQM.Measurement.postMeasurement_op_eq_opElement_div,Exercise8_2,small
AxQM.Measurement.unreadState_reducedLeft_onRight,Exercise4_32,small
AxQM.Observable.postMeasMinus_hasEigenstate,Exercise5_9,small
AxQM.Observable.postMeasPlus_hasEigenstate,Exercise5_9,small
AxQM.Observable.postMeasurement_signMeasurement_minus,Exercise5_9,small
AxQM.PureState.exists_evolution_tmul_of_sameSchmidtCoeffs,Exercise2_80,small
AxQM.PureState.natAbs_sub_schmidtNumber_le,Problem2_2,small
AxQM.PureState.schmidtNumber_le_card_of_sum_tmul,Problem2_2,small
AxQM.PureState.schmidtNumber_le_dim,Exercise2_76,small
AxQM.State.exists_blochState,Exercise2_72,small
AxQM.State.exists_isPositive_sub_op_sub,Exercise9_7,small
AxQM.State.purity_le_one,Exercise2_71,small
AxQM.State.vonNeumannEntropy_le_log_finrank,Theorem11_8,small
AxQM.State.vonNeumannEntropy_nonneg,Theorem11_8,small
AxQM.bb84_distinguisher_compromises_security,Exercise12_38,small
AxQM.bellMeasurement_toPOVM_elements_eq_bellProjector,Exercise4_33,small
AxQM.bellPhiPlus_expectation_pauliX_tmul_pauliZ_eq_zero,Exercise2_66,small
AxQM.bellPhiPlus_isSchmidtDecomposition,Exercise2_79,small
AxQM.bellPhiPlus_ne_tmul,Exercise2_68,small
AxQM.bellState_expectation_tmul_id_eq,Exercise2_70,small
AxQM.bitFlipSyndrome_postMeasurement_eq,Exercise10_3,small
AxQM.blochPureState_toState_eq_blochState,Exercise2_72,small
AxQM.blochState_zero_eq_maximallyMixed,Exercise2_72,small
AxQM.bornProb_eq_trace_generalMeasurementEnvOp,Exercise8_7,small
AxQM.cascade_postMeasurement,Exercise2_57,small
AxQM.channelEquiv_equivalence,Problem10_1,small
AxQM.cnotGate_eq_hadamard_conj_controlledZGate,Exercise4_17,small
AxQM.completelyDepolarizingChannel_eq_maximallyMixedState,Exercise10_11,small
AxQM.completelyDepolarizingChannel_isChannel,Exercise10_11,small
AxQM.computablePhaseShiftCircuit_hasEigenstate,Problem4_1,small
AxQM.controlMeasurement_commute_postMeasurement,Exercise4_35,small
AxQM.correctsErrors_krausSumₗ_op_proportional_linearCombination,Theorem10_2,small
AxQM.corrects_of_channelEquiv,Problem10_1,small
AxQM.cssPhaseFamily_sum_rankOne_eq_id,Exercise12_35,small
AxQM.deutschOracleConstOne_isDeutschOracle,Exercise7_13,small
AxQM.deutschOracleConstZero_isDeutschOracle,Exercise7_13,small
AxQM.distinguishingPOVM_certain,Exercise2_64,small
AxQM.distinguishingPOVM_prob_pos,Exercise2_64,small
AxQM.dlogForwardFourierSum_eq_smul_reflected,Exercise5_23,small
AxQM.dlogFourierDoubleSum_eq_smul_dlogFourierState,Exercise5_22,small
AxQM.dlogFourierDoubleSum_eq_zero_of_not_modEq,Exercise5_22,small
AxQM.dlogFourierDoubleSum_of_modEq,Exercise5_22,small
AxQM.dlogInverseFourierSum_eq_smul_dlogBasisState,Exercise5_23,small
AxQM.eigenstate_expectation_eq_eigenvalue,Exercise2_58,small
AxQM.eigenstate_stdDev_eq_zero,Exercise2_58,small
AxQM.evolvePure_comp_eq_of_commute_hasEigenstate_one,Exercise10_56,small
AxQM.gateChannelError_comp_le,Exercise9_22,small
AxQM.genDepolarizingKraus_completeness,Exercise8_19,small
AxQM.hadamardGate_evolve_eq_rotXGate_rotZGate_rotXGate_evolve,Exercise4_4,small
AxQM.hadamardGate_op_eq_expPiDivTwo_smul_rotAxisGate,Exercise4_8,small
AxQM.hadamardGate_op_eq_expPiDivTwo_smul_rotXGate_rotZGate_rotXGate,Exercise4_4,small
AxQM.hadamardGate_sq,Exercise2_52,small
AxQM.hadamardObservable_eigenvalue_eq_one_or_neg_one,Exercise2_53,small
AxQM.hadamardObservable_hasEigenstate_neg_one,Exercise2_53,small
AxQM.hadamardObservable_hasEigenstate_one,Exercise2_53,small
AxQM.holevoMeasurementChannel_isChannel,Exercise12_2,small
AxQM.isDensityOp_iff_exists_ensemble,Theorem2_5,small
AxQM.linearity_forbids_cloning,Problem12_4,small
AxQM.machZehnderIdentityCircuit_eq_id,Exercise7_10,small
AxQM.machZehnder_evolvePure_dualRail,Exercise7_10,small
AxQM.machZehnder_evolvePure_dualRail_rotX,Exercise7_10,small
AxQM.measurementModelEvolution_op_tmul,Exercise8_9,small
AxQM.nmrThermalState_spinOne_eq,Exercise7_36,small
AxQM.nmrThermalState_spinTwo_eq,Exercise7_36,small
AxQM.not_qubitPlus_qubitMinus_relativePhaseEquiv_plusMinusFrame,Exercise2_65,small
AxQM.opticalHadamardMirror_evolvePure_dualRailOne,Exercise7_13,small
AxQM.opticalHadamardMirror_evolvePure_dualRailZero,Exercise7_13,small
AxQM.pauliObservable_chsh_expectation_le,Problem2_3,small
AxQM.pauliObservable_eigenvalue_eq_one_or_neg_one,Exercise2_60,small
AxQM.pauliObservable_hasEigenstate_neg_one,Exercise2_60,small
AxQM.pauliObservable_hasEigenstate_one,Exercise2_60,small
AxQM.pauliVecMeasurement_bornProb_qubitKet0_zero,Exercise2_61,small
AxQM.pauliVecMeasurement_postMeasurement_qubitKet0_zero,Exercise2_61,small
AxQM.periodShift_hasEigenstate_qftInverseFourierImage,Exercise5_21,small
AxQM.phaseEstimationSuperposition_accuracy_ge,Exercise5_8,small
AxQM.phaseShiftCircuit_evolvePure_dualRail,Exercise7_7,small
AxQM.plusPlusState_isSchmidtDecomposition,Exercise2_79,small
AxQM.projPinching_two_eq_reflection_evolve_mix,Exercise11_20,small
