from_task,to_task
AxQM.Concrete.exists_smul_rotAxis_triple_of_perp,AxQM.Concrete.exists_zy_decomposition
AxQM.Concrete.exists_xy_decomposition,AxQM.Concrete.exists_zy_decomposition
AxQM.Concrete.exists_xy_decomposition,AxQM.Concrete.rotX_eq
AxQM.Concrete.exists_zyMatrixForm,AxQM.Concrete.exists_zy_decomposition
AxQM.Concrete.fidelity_not_lower_bound_of_albertiProduct,Matrix.PosSemidef.sqrt_conjTranspose_mul_self
AxQM.Concrete.fiveQubitCode_isCorrectableErrorSet,AxQM.Concrete.codeProjector_isCorrectableErrorSet
AxQM.Concrete.fiveQubitCode_isCorrectableErrorSet,AxQM.Concrete.normalizer_eq_centralizer_of_negOne_notMem
AxQM.Concrete.fiveQubitCode_isCorrectableErrorSet,AxQM.Concrete.stabilizedSubspace_finrank
AxQM.Concrete.fockBeamKraus_completeness,AxQM.Concrete.fockDampingKraus_completeness
AxQM.Concrete.four_pow_half_order_ne_neg_one_zmod_ninetyOne,AxQM.Concrete.orderOf_four_zmod_ninetyOne
AxQM.Concrete.four_pow_half_order_zmod_ninetyOne,AxQM.Concrete.orderOf_four_zmod_ninetyOne
AxQM.Concrete.gcd_four_pow_half_order_pred_ninetyOne,AxQM.Concrete.orderOf_four_zmod_ninetyOne
AxQM.Concrete.hadamardC_eq_expPiDivTwo_smul_rotX_rotY,AxQM.Concrete.rotX_eq
AxQM.Concrete.hadamardC_mul_tMatrix_mul_hadamardC,AxQM.Concrete.rotX_eq
AxQM.Concrete.hadamardPow_two_submatrix,AxQM.Concrete.hadamardPow_apply_eq
AxQM.Concrete.hyperfineFSq_eq,AxQM.Concrete.hyperfineFx_eq
AxQM.Concrete.hyperfineFSq_eq,AxQM.Concrete.hyperfineFy_eq
AxQM.Concrete.hyperfineFSq_eq,AxQM.Concrete.hyperfineFz_eq
AxQM.Concrete.hyperfineFSq_mulVec_coupledF1n1,AxQM.Concrete.hyperfineFSq_eq
AxQM.Concrete.hyperfineFSq_mulVec_coupledF1p1,AxQM.Concrete.hyperfineFSq_eq
AxQM.Concrete.hyperfineFSq_mulVec_coupledF1z,AxQM.Concrete.hyperfineFSq_eq
AxQM.Concrete.hyperfineFSq_mulVec_coupledF2n1,AxQM.Concrete.hyperfineFSq_eq
AxQM.Concrete.hyperfineFSq_mulVec_coupledF2n2,AxQM.Concrete.hyperfineFSq_eq
AxQM.Concrete.hyperfineFSq_mulVec_coupledF2p1,AxQM.Concrete.hyperfineFSq_eq
AxQM.Concrete.hyperfineFSq_mulVec_coupledF2p2,AxQM.Concrete.hyperfineFSq_eq
AxQM.Concrete.hyperfineFSq_mulVec_coupledF2z,AxQM.Concrete.hyperfineFSq_eq
AxQM.Concrete.hyperfineFz_mulVec_coupledF1n1,AxQM.Concrete.hyperfineFz_eq
AxQM.Concrete.hyperfineFz_mulVec_coupledF1p1,AxQM.Concrete.hyperfineFz_eq
AxQM.Concrete.hyperfineFz_mulVec_coupledF1z,AxQM.Concrete.hyperfineFz_eq
AxQM.Concrete.hyperfineFz_mulVec_coupledF2n1,AxQM.Concrete.hyperfineFz_eq
AxQM.Concrete.hyperfineFz_mulVec_coupledF2n2,AxQM.Concrete.hyperfineFz_eq
AxQM.Concrete.hyperfineFz_mulVec_coupledF2p1,AxQM.Concrete.hyperfineFz_eq
AxQM.Concrete.hyperfineFz_mulVec_coupledF2p2,AxQM.Concrete.hyperfineFz_eq
AxQM.Concrete.hyperfineFz_mulVec_coupledF2z,AxQM.Concrete.hyperfineFz_eq
AxQM.Concrete.isPauliNormalizer_eq_smul_cliffordCircuit_bigO,AxQM.Concrete.isPauliNormalizer_eq_smul_cliffordCircuit_length_le
AxQM.Concrete.isPauliNormalizer_eq_smul_cliffordCircuit_length_le,AxQM.Concrete.hadamardC_mul_pauliX_mul_hadamardC
AxQM.Concrete.isPauliNormalizer_eq_smul_cliffordCircuit_length_le,AxQM.Concrete.hadamardC_mul_pauliY_mul_hadamardC
AxQM.Concrete.isPauliNormalizer_eq_smul_cliffordCircuit_length_le,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.Concrete.isPauliNormalizer_eq_smul_cliffordCircuit_length_le,AxQM.Concrete.sMatrix_conj_pauliX
AxQM.Concrete.isPauliNormalizer_eq_smul_cliffordCircuit_length_le,AxQM.Concrete.sMatrix_conj_pauliZ
AxQM.Concrete.isPauliNormalizer_singleQubit_eq_smul_cliffordCircuit,AxQM.Concrete.hadamardC_mul_pauliX_mul_hadamardC
AxQM.Concrete.isPauliNormalizer_singleQubit_eq_smul_cliffordCircuit,AxQM.Concrete.hadamardC_mul_pauliY_mul_hadamardC
AxQM.Concrete.isPauliNormalizer_singleQubit_eq_smul_cliffordCircuit,AxQM.Concrete.hadamardC_mul_pauliZ_mul_hadamardC
AxQM.Concrete.isPauliNormalizer_singleQubit_eq_smul_cliffordCircuit,AxQM.Concrete.sMatrix_conj_pauliX
AxQM.Concrete.isPauliNormalizer_singleQubit_eq_smul_cliffordCircuit,AxQM.Concrete.sMatrix_conj_pauliZ
AxQM.Concrete.locatedPauliErrors_isCorrectableErrorSet,AxQM.Concrete.PauliGroup.sq_eq_one_of_negOne_notMem
AxQM.Concrete.locatedPauliErrors_isCorrectableErrorSet_of_dist_ge,AxQM.Concrete.locatedPauliErrors_isCorrectableErrorSet
AxQM.Concrete.mem_stabilizer_conjTranspose,AxQM.Concrete.stabilizer_le_normalizer
AxQM.Concrete.opticalHadamardCircuit_mulVec_oneZero,AxQM.Concrete.opticalHadamardCircuit_eq_smul_hadamardC
AxQM.Concrete.opticalHadamardCircuit_mulVec_zeroOne,AxQM.Concrete.opticalHadamardCircuit_eq_smul_hadamardC
AxQM.Concrete.pauliAverage_pauliX,AxQM.Concrete.pauliX_trace
AxQM.Concrete.pauliAverage_pauliY,AxQM.Concrete.pauliY_trace
AxQM.Concrete.pauliDot_conjSum_twoAxis_eq_zero,AxQM.Concrete.pauliDot_conjSum_eq_zero
AxQM.Concrete.pauliX_lie_pauliY,AxQM.Concrete.pauliSigma_lie
AxQM.Concrete.pauliY_lie_pauliZ,AxQM.Concrete.pauliSigma_lie
AxQM.Concrete.pauliZ_eq_outerSelf_sub,AxQM.Concrete.pauliZ_eq_ketBra
AxQM.Concrete.pauliZ_lie_pauliX,AxQM.Concrete.pauliSigma_lie
AxQM.Concrete.phaseDampCNOTChannel_eq_phaseDampKrausTilde,AxQM.Concrete.phaseDampCNOTChannel_eq_phaseFlipChannel
AxQM.Concrete.polarExampleLeftFactor_eq_sqrt,Matrix.PosSemidef.sqrt_conjTranspose_mul_self
AxQM.Concrete.polarExampleRightFactor_eq_sqrt,Matrix.PosSemidef.sqrt_conjTranspose_mul_self
AxQM.Concrete.refocusPulse_mul_zEvolution_mul_refocusPulse,AxQM.Concrete.pauliX_mul_zEvolution_mul_pauliX
AxQM.Concrete.refocusPulse_mul_zEvolution_mul_refocusPulse,AxQM.Concrete.rotX_eq
AxQM.Concrete.rotAxis_mul_rotAxis_stated_order_printed_false,AxQM.Concrete.rotAxis_mul_rotAxis
AxQM.Concrete.sqrtSwapHeisCNOT_eq,AxQM.Concrete.sqrtSwapHeis_eq
AxQM.Concrete.stabilizerDistilledVec_normSq_eq_two_pow,AxQM.Concrete.PauliGroup.sq_eq_one_of_negOne_notMem
AxQM.Concrete.stabilizerGenerators_independent_iff_checkRow_linearIndependent,AxQM.Concrete.PauliGroup.sq_eq_one_of_negOne_notMem
AxQM.Concrete.tMatrix_conj_pauliX_eq_expNeg_smul_sxMatrix,AxQM.Concrete.tMatrix_conj_pauliX
AxQM.Concrete.toMatrix_swapOperator_std_ne_hadamard,AxQM.Concrete.toMatrix_swapOperator_hadamard
AxQM.Concrete.toMatrix_swapOperator_std_ne_hadamard,AxQM.Concrete.toMatrix_swapOperator_std
AxQM.Concrete.totalJSq_eq,AxQM.Concrete.totalJz_eq
AxQM.Concrete.totalJSq_mulVec_coupledSinglet,AxQM.Concrete.totalJSq_eq
AxQM.Concrete.totalJSq_mulVec_coupledTripletMinus,AxQM.Concrete.totalJSq_eq
AxQM.Concrete.totalJSq_mulVec_coupledTripletPlus,AxQM.Concrete.totalJSq_eq
AxQM.Concrete.totalJSq_mulVec_coupledTripletZero,AxQM.Concrete.totalJSq_eq
AxQM.Concrete.totalJz_mulVec_coupledSinglet,AxQM.Concrete.totalJz_eq
AxQM.Concrete.totalJz_mulVec_coupledTripletMinus,AxQM.Concrete.totalJz_eq
AxQM.Concrete.totalJz_mulVec_coupledTripletPlus,AxQM.Concrete.totalJz_eq
AxQM.Concrete.totalJz_mulVec_coupledTripletZero,AxQM.Concrete.totalJz_eq
AxQM.Concrete.totalSpin_lie,AxQM.Concrete.pauliSigma_lie
AxQM.Concrete.twoQubitCNOT_conj_pauliY_kron_pauliI_eq_mul,AxQM.Concrete.twoQubitCNOT_conj_pauliY_kron_pauliI
AxQM.Ensemble.exists_orthonormalBasis_refMeasurement_recovers_ensemble,AxQM.Ensemble.purify_reducedLeft
AxQM.Evolution.exists_pauliString_trotter_approximation_explicit,AxQM.Evolution.exists_hamiltonian_generator_spectrum_Icc
AxQM.Evolution.exists_pauliString_trotter_approximation_explicit,AxQM.Observable.exists_real_pauliString_expansion
AxQM.Evolution.exists_pauliString_trotter_circuit_gateCount,AxQM.Evolution.exists_pauliString_trotter_approximation_explicit
AxQM.Evolution.exists_pauliString_trotter_circuit_gateCount,AxQM.pauliStringExpCircuit_circuitBudget
AxQM.Evolution.exists_pauliString_trotter_circuit_gateCount,AxQM.pauliStringExpCircuit_op_eq_propagator
AxQM.IsChannel.existsUnique_fixedPoint_of_strictlyContractive,AxQM.IsChannel.exists_fixedPoint
AxQM.Measurement.postMeasurement_op_eq_opElement_div,AxQM.Measurement.bornProb_eq_trace_opElement
AxQM.Observable.exists_norm_prod_pauliStringHamiltonian_propagator_sub_le,AxQM.Observable.exists_real_pauliString_expansion
AxQM.Observable.postMeasMinus_hasEigenstate,AxQM.Observable.op_mul_projMinus
AxQM.Observable.postMeasPlus_hasEigenstate,AxQM.Observable.op_mul_projPlus
AxQM.Observable.symmTrotterStep_gateError_pow_le,AxQM.Observable.symmTrotterStep_gateError_le
AxQM.OneWayLOCC.of_exists_transforms_pureState,AxQM.OneWayLOCC.of_transforms_pureState
AxQM.OneWayLOCC.of_transforms_pureState,AxQM.PureState.exists_evolution_tmul_of_sameSchmidtCoeffs
AxQM.OneWayLOCC.of_transforms_pureState,AxQM.PureState.exists_schmidt_decomposition
AxQM.OneWayLOCC.of_transforms_pureState,AxQM.toState_evolvePure
AxQM.PureState.bellCount_le_of_reducedLeft_loccConvertible,AxQM.PureState.schmidtNumber_le_of_reducedLeft_loccConvertible
AxQM.PureState.convertibleNoComm_iff_exists_sameNonzeroSpectrum_tmul,AxQM.PureState.exists_evolution_tmul_of_sameSchmidtCoeffs
AxQM.PureState.convertibleNoComm_iff_exists_sameNonzeroSpectrum_tmul,AxQM.PureState.exists_schmidt_decomposition
AxQM.PureState.convertibleNoComm_iff_exists_sameNonzeroSpectrum_tmul,AxQM.PureState.isProduct_iff_isPure_reducedLeft
AxQM.PureState.convertibleNoComm_iff_exists_sameNonzeroSpectrum_tmul,AxQM.toState_evolvePure
AxQM.PureState.distillableEntanglement_reducedLeft_le,AxQM.State.abs_vonNeumannEntropy_sub_le_fannes_weak
AxQM.PureState.distillableEntanglement_reducedLeft_le,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.PureState.distillableEntanglement_reducedLeft_le,AxQM.State.vonNeumannEntropy_nonneg
AxQM.PureState.distillableEntanglement_reducedLeft_le,ContinuousLinearMap.exists_unitary_isPositive_polar
AxQM.PureState.distillableEntanglement_reducedLeft_le,convex_setOf_majorize
AxQM.PureState.distillableEntanglement_reducedLeft_le,majorize_iff_exists_sum_perm
AxQM.PureState.eavesdropper_mutualInfo_le_vonNeumannEntropy,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.PureState.eavesdropper_mutualInfo_le_vonNeumannEntropy,AxQM.State.vonNeumannEntropy_nonneg
AxQM.PureState.eavesdropper_mutualInfo_le_vonNeumannEntropy,AxQM.holevoBound_of_chi_monotone
AxQM.PureState.exists_schmidt_decomposition_card_le,AxQM.PureState.exists_schmidt_decomposition
AxQM.PureState.isProduct_iff_isPure_reducedLeft,AxQM.PureState.isProduct_iff_schmidtNumber_eq_one
AxQM.PureState.isProduct_iff_isPure_reducedLeft,AxQM.PureState.schmidtNumber_eq_rank_reducedLeft
AxQM.PureState.isProduct_iff_isPure_reducedLeft,AxQM.isPure_reducedLeft_toState_tmul
AxQM.PureState.isProduct_iff_isPure_reducedRight,AxQM.PureState.exists_schmidt_decomposition
AxQM.PureState.isProduct_iff_isPure_reducedRight,AxQM.PureState.isProduct_iff_schmidtNumber_eq_one
AxQM.PureState.isProduct_iff_isPure_reducedRight,AxQM.PureState.schmidtNumber_eq_rank_reducedLeft
AxQM.PureState.isProduct_iff_schmidtNumber_eq_one,AxQM.PureState.schmidtNumber_le_card_of_sum_tmul
AxQM.PureState.not_isProduct_iff_condVonNeumannEntropy_neg,AxQM.PureState.isProduct_iff_isPure_reducedLeft
AxQM.PureState.not_isProduct_iff_condVonNeumannEntropy_neg,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.PureState.not_isProduct_iff_condVonNeumannEntropy_neg,AxQM.State.vonNeumannEntropy_eq_zero_iff_isPure
AxQM.PureState.not_isProduct_iff_condVonNeumannEntropy_neg,AxQM.State.vonNeumannEntropy_nonneg
AxQM.PureState.schmidtNumber_le_of_reducedLeft_loccConvertible,AxQM.PureState.schmidtNumber_eq_rank_reducedLeft
AxQM.PureState.schmidtNumber_le_of_reducedLeft_loccConvertible,ContinuousLinearMap.exists_unitary_isPositive_polar
AxQM.PureState.schmidtNumber_le_of_reducedLeft_loccConvertible,convex_setOf_majorize
AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight,AxQM.PureState.exists_schmidt_decomposition
AxQM.State.LOCCConvertible_of_majorize,majorize_iff_exists_sum_perm
AxQM.State.abs_vonNeumannEntropy_sub_le_fannes_weak,AxQM.State.vonNeumannEntropy_le_log_finrank
AxQM.State.abs_vonNeumannEntropy_sub_le_fannes_weak,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.angle_channel_le,AxQM.State.fidelity_le_fidelity_channel
AxQM.State.angle_eq_zero_iff,AxQM.State.isGreatest_norm_overlap_purification
AxQM.State.coherentInfoComp_le_coherentInfo,AxQM.State.vonNeumannMutualInfo_dilatedChannelOnRight_le
AxQM.State.coherentInfoComp_le_vonNeumannEntropy,AxQM.PureState.isProduct_iff_isPure_reducedRight
AxQM.State.coherentInfoComp_le_vonNeumannEntropy,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.coherentInfoComp_le_vonNeumannEntropy,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.coherentInfoComp_le_vonNeumannEntropy,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.coherentInfoComp_le_vonNeumannEntropy,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.coherentInfoComp_le_vonNeumannEntropy,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.coherentInfoComp_le_vonNeumannEntropy,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.coherentInfo_le_vonNeumannEntropy,AxQM.PureState.isProduct_iff_isPure_reducedRight
AxQM.State.coherentInfo_le_vonNeumannEntropy,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.coherentInfo_le_vonNeumannEntropy,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.coherentInfo_le_vonNeumannEntropy,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.coherentInfo_le_vonNeumannEntropy,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.coherentInfo_le_vonNeumannEntropy,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.coherentInfo_le_vonNeumannEntropy,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.condEntropy_add_le_add,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.condVonNeumannEntropy_concave,AxQM.State.conditioning_reduces_vonNeumannEntropy'
AxQM.State.condVonNeumannEntropy_concave,AxQM.State.vonNeumannEntropy_mix_orthogonalSupport
AxQM.State.condVonNeumannEntropy_concave,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.conditioning_reduces_vonNeumannEntropy',AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.crossEnvEntropy_le_vonNeumannEntropy_add_entropyExchange_dilatedChannel,AxQM.PureState.isProduct_iff_isPure_reducedRight
AxQM.State.crossEnvEntropy_le_vonNeumannEntropy_add_entropyExchange_dilatedChannel,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.crossEnvEntropy_le_vonNeumannEntropy_add_entropyExchange_dilatedChannel,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.crossEnvEntropy_le_vonNeumannEntropy_add_entropyExchange_dilatedChannel,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.crossEnvEntropy_le_vonNeumannEntropy_add_entropyExchange_dilatedChannel,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.crossEnvEntropy_le_vonNeumannEntropy_add_entropyExchange_dilatedChannel,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.crossEnvEntropy_le_vonNeumannEntropy_add_entropyExchange_dilatedChannel,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.crossEnvEntropy_le_vonNeumannEntropy_add_entropyExchange_dilatedChannel,AxQM.toState_evolvePure
AxQM.State.entropyExchangeComp_le_entropyExchange_add_entropyExchange,AxQM.PureState.isProduct_iff_isPure_reducedRight
AxQM.State.entropyExchangeComp_le_entropyExchange_add_entropyExchange,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.entropyExchangeComp_le_entropyExchange_add_entropyExchange,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.entropyExchangeComp_le_entropyExchange_add_entropyExchange,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.entropyExchangeComp_le_entropyExchange_add_entropyExchange,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.entropyExchangeComp_le_entropyExchange_add_entropyExchange,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.entropyExchangeComp_le_entropyExchange_add_entropyExchange,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.entropyExchangeComp_le_entropyExchange_add_entropyExchange,AxQM.toState_evolvePure
AxQM.State.entropyExchangeComp_le_vonNeumannEntropy_add_dilatedChannelComp,AxQM.PureState.isProduct_iff_isPure_reducedRight
AxQM.State.entropyExchangeComp_le_vonNeumannEntropy_add_dilatedChannelComp,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.entropyExchangeComp_le_vonNeumannEntropy_add_dilatedChannelComp,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.entropyExchangeComp_le_vonNeumannEntropy_add_dilatedChannelComp,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.entropyExchangeComp_le_vonNeumannEntropy_add_dilatedChannelComp,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.entropyExchangeComp_le_vonNeumannEntropy_add_dilatedChannelComp,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.entropyExchangeComp_le_vonNeumannEntropy_add_dilatedChannelComp,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.entropyExchange_dilatedChannel_le_crossEnvEntropy_add_vonNeumannEntropy,AxQM.PureState.isProduct_iff_isPure_reducedRight
AxQM.State.entropyExchange_dilatedChannel_le_crossEnvEntropy_add_vonNeumannEntropy,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.entropyExchange_dilatedChannel_le_crossEnvEntropy_add_vonNeumannEntropy,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.entropyExchange_dilatedChannel_le_crossEnvEntropy_add_vonNeumannEntropy,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.entropyExchange_dilatedChannel_le_crossEnvEntropy_add_vonNeumannEntropy,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.entropyExchange_dilatedChannel_le_crossEnvEntropy_add_vonNeumannEntropy,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.entropyExchange_dilatedChannel_le_crossEnvEntropy_add_vonNeumannEntropy,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.entropyExchange_dilatedChannel_le_crossEnvEntropy_add_vonNeumannEntropy,AxQM.toState_evolvePure
AxQM.State.entropyExchange_dilatedChannel_le_entropyExchange_add_entropyExchangeComp,AxQM.PureState.isProduct_iff_isPure_reducedRight
AxQM.State.entropyExchange_dilatedChannel_le_entropyExchange_add_entropyExchangeComp,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.entropyExchange_dilatedChannel_le_entropyExchange_add_entropyExchangeComp,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.entropyExchange_dilatedChannel_le_entropyExchange_add_entropyExchangeComp,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.entropyExchange_dilatedChannel_le_entropyExchange_add_entropyExchangeComp,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.entropyExchange_dilatedChannel_le_entropyExchange_add_entropyExchangeComp,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.entropyExchange_dilatedChannel_le_entropyExchange_add_entropyExchangeComp,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.entropyExchange_dilatedChannel_le_entropyExchange_add_entropyExchangeComp,AxQM.toState_evolvePure
AxQM.State.entropyExchange_dilatedChannel_le_vonNeumannEntropy_add_dilatedChannelComp,AxQM.State.entropyExchange_le_vonNeumannEntropy_add_dilatedChannel
AxQM.State.entropyExchange_le_entropyExchangeComp_add_entropyExchange,AxQM.PureState.isProduct_iff_isPure_reducedRight
AxQM.State.entropyExchange_le_entropyExchangeComp_add_entropyExchange,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.entropyExchange_le_entropyExchangeComp_add_entropyExchange,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.entropyExchange_le_entropyExchangeComp_add_entropyExchange,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.entropyExchange_le_entropyExchangeComp_add_entropyExchange,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.entropyExchange_le_entropyExchangeComp_add_entropyExchange,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.entropyExchange_le_entropyExchangeComp_add_entropyExchange,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.entropyExchange_le_entropyExchangeComp_add_entropyExchange,AxQM.toState_evolvePure
AxQM.State.entropyExchange_le_vonNeumannEntropy_add_dilatedChannel,AxQM.PureState.isProduct_iff_isPure_reducedRight
AxQM.State.entropyExchange_le_vonNeumannEntropy_add_dilatedChannel,AxQM.PureState.vonNeumannEntropy_reducedLeft_eq_reducedRight
AxQM.State.entropyExchange_le_vonNeumannEntropy_add_dilatedChannel,AxQM.State.quantumRelativeEntropy_eq_zero_iff_of_hasSupportLE
AxQM.State.entropyExchange_le_vonNeumannEntropy_add_dilatedChannel,AxQM.State.quantumRelativeEntropy_nonneg_of_hasSupportLE
AxQM.State.entropyExchange_le_vonNeumannEntropy_add_dilatedChannel,AxQM.State.vonNeumannEntropy_add_le_add'
AxQM.State.entropyExchange_le_vonNeumannEntropy_add_dilatedChannel,AxQM.State.vonNeumannEntropy_nonneg
AxQM.State.entropyExchange_le_vonNeumannEntropy_add_dilatedChannel,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.fidelity_concaveLeft,AxQM.State.sum_sqrt_mul_fidelity_le_fidelity_mix
AxQM.State.fidelity_evolve,AxQM.State.fidelity_le_fidelity_channel
AxQM.State.fidelity_le_fidelity_channel,ContinuousLinearMap.satisfiesOperationAxioms_iff_isOperatorSum
AxQM.State.holevoChi_dilatedChannel_le,AxQM.State.holevoChi_reducedLeft_le
AxQM.State.holevoChi_dilatedChannel_le,AxQM.State.vonNeumannEntropy_tmul
AxQM.State.holevoChi_measState_eq_mutualInfo,AxQM.State.vonNeumannEntropy_mix_orthogonalSupport
AxQM.State.holevoChi_reducedLeft_le,AxQM.State.vonNeumannEntropy_jointEntropyTheorem
AxQM.State.holevoChi_reducedLeft_le,AxQM.State.vonNeumannEntropy_mix_orthogonalSupport
